OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB14,LG01,CHICKPEA,,
AB14,LG02,FENUGREEK,,
AB14,LG03,FIELD BEANS - SPRING,,
AB14,LG04,GREEN BEANS,,
AB14,LG05,LENTILS,,
AB14,LG06,LUPINS,,
AB14,LG07,PEAS - SPRING,,
AB14,LG08,SOYA,,
AB14,LG09,COWPEA,,
AB14,LG10,BIRD'S FOOT TREFOIL,,
AB14,LG11,LUCERNE,,
AB14,LG12,SWEET CLOVER,,
AB14,LG13,SAINFOIN,,
AB14,LG14,CLOVER,,
AB14,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
